date,lines_added,lines_deleted
2023-01-13,3,3
2023-01-11,4,0
2023-01-11,13,0
2023-01-10,3,0
2023-01-07,1,0
2023-01-07,3,2
2023-01-07,1,1
2023-01-07,3,3
2023-01-07,2,2
2023-01-07,4,3
2023-01-07,7,0
2023-01-07,57,1
2023-01-07,12,1
2023-01-07,675,0
